Division,Court,country,class,product,person,agent,Role,Town-Country,Longitude,Latitude
Gallery,South,UK,10. Philosophical Instruments (including Daguerreotypes,Barometers and manometers.,Rev. John Griffith,,des.,"Derby, UK",-1.4746186,52.9225301
Gallery,West,France,10. Philosophical Instruments (including Daguerreotypes,Double planisphere for great circle sailing.,F. A. E. Keller,,inv.,"Paris, France",2.3522219,48.856614
Gallery,Southwest,Germany,10. Philosophical Instruments (including Daguerreotypes,Chemical apparatus for analytical purposes.,A. Rudel,,manu.,"Halle, Germany",11.9688029,51.4969802
Gallery,South,UK,10. Philosophical Instruments (including Daguerreotypes,"Pair of globes ; new atlas, maps, dec.",Henry George Collins,,,"London, UK",-0.1277583,51.5073509
Gallery,Southwest,Germany,10. Philosophical Instruments (including Daguerreotypes,Physical instruments of several kinds.,Fred. W. Breithaupt & Son,,manu.,"Cassel, Germany",9.4797461,51.3127114
Gallery,Southwest,Germany,10. Philosophical Instruments (including Daguerreotypes,Scales of various kinds and capacities.,Sigmund Wehefbitz,,manu.,"Nuremberg, Germany",11.0796553,49.4254092
Gallery,West,France,10. Philosophical Instruments (including Daguerreotypes,"A variety of clocks, bronzes, and fancy articles.",Heerard,,,"Paris, France",2.3522219,48.856614
Gallery,West,France,10. Philosophical Instruments (including Daguerreotypes,Hernia trusses and orthopedic bandages.,Henri Biondemt,,manu.,"Paris, France",2.3522219,48.856614
Gallery,South,UK,10. Philosophical Instruments (including Daguerreotypes,Two marine- chronometers.,John Lawson,,manu.,"London, UK",-0.1277583,51.5073509
Gallery,Northwest,Switzerland,10. Philosophical Instruments (including Daguerreotypes,Various specimens of photography.,J. B. Isenring,,artist,"St. Gall, Switzerland",9.3767173,47.4244818
Gallery,South,UK,10. Philosophical Instruments (including Daguerreotypes,Photographic apparatus.,Joseph Wilson Swan,,,"Newcastle-upon-Tyne, UK",-1.61778,54.978252
Gallery,Northwest,Switzerland,10. Philosophical Instruments (including Daguerreotypes,Various watches.,Ch. Henri Grosolaude,,inv. & manu.,"Fleurier, Switzerland",6.5808426,46.9023107
Gallery,Northwest,Switzerland,10. Philosophical Instruments (including Daguerreotypes,Chronometers and diaL,Henry J. Borel,,manu.,"Chaux de Fonds, Switzerland",6.8327838,47.1034892
Gallery,South,UK,10. Philosophical Instruments (including Daguerreotypes,"Astronomical telescopes, regulator, &e.",John Dickman,,,"Edinburgh, UK",-3.188267,55.953252
Gallery,Southwest,Germany,10. Philosophical Instruments (including Daguerreotypes,j A variety of surgical instruments.,Moritz Wunsche,,manu.,"Leipsic, Germany",12.3730747,51.3396955
Gallery,Northwest,Switzerland,10. Philosophical Instruments (including Daguerreotypes,Twelve watches.,Henry Auguste Favke,,inv. & manu.,"Locle, Switzerland",6.7487354,47.0577195
Gallery,Southwest,Germany,10. Philosophical Instruments (including Daguerreotypes,Specimens of mathematical instruments.,Pbobiter,,manu.,"Nuremberg, Germany",11.0796553,49.4254092
Gallery,West,France,10. Philosophical Instruments (including Daguerreotypes,Microscopes of various descriptions.,Nacuet,,manu.,"Paris, France",2.3522219,48.856614
Gallery,West,France,10. Philosophical Instruments (including Daguerreotypes,Anew style of balances (patented).,M. J. Glaeuzer,,,"Paris, France",2.3522219,48.856614
Gallery,Northwest,Switzerland,10. Philosophical Instruments (including Daguerreotypes,Three watches.,E. P. Evard,,manu.,"St. Blaise, Neuchatel, Switzerland",6.9849397,47.013611
Gallery,Southwest,Germany,10. Philosophical Instruments (including Daguerreotypes,Glass chemical apparatus.,F. F. Greiner,,manu.,"Stulzerbach, Germany",,
Gallery,Southwest,Germany,10. Philosophical Instruments (including Daguerreotypes,Syringes of various descriptions.,S. Gundeemau,,manu.,"Nuremberg, Germany",11.0796553,49.4254092
Gallery,West,France,10. Philosophical Instruments (including Daguerreotypes,Philosophical apparatus.,Duboscq-Soleil,,manu.,"Paris, France",2.3522219,48.856614
Gallery,Southwest,Germany,10. Philosophical Instruments (including Daguerreotypes,A variety of mathematical instruments.,Eckeet,,manu.,"Nunanberg, Germany",11.0797,49.4254
Gallery,South,UK,10. Philosophical Instruments (including Daguerreotypes,A block-map of Sicily.,James Wyld,,geographer,"London, UK",-0.1277583,51.5073509
Gallery,Northwest,Switzerland,10. Philosophical Instruments (including Daguerreotypes,Movements of clocks and watches.,H. Book,,manu.,"Locle, Switzerland",6.7487354,47.0577195
Gallery,Southwest,Germany,10. Philosophical Instruments (including Daguerreotypes,Meissen porcelain pharmaceutical apparatus.,Geiie & Co.,,manu.,"Dresden, Germany",13.7372621,51.0504088
Gallery,Northwest,Switzerland,10. Philosophical Instruments (including Daguerreotypes,Astronomical time-piece.,Favre & Andrie,,manu.,"Locle, Switzerland",6.7487354,47.0577195
Gallery,Northwest,Switzerland,10. Philosophical Instruments (including Daguerreotypes,A new style of compass.,Keigel & Petttpieube,,manu.,"Couvet, Switzerland",6.6324944,46.9262933
Gallery,Northwest,Switzerland,10. Philosophical Instruments (including Daguerreotypes,Marine chronometers.,Henri Grandjean,,manu.,"Locle, Switzerland",6.7487354,47.0577195
Gallery,Southwest,Germany,10. Philosophical Instruments (including Daguerreotypes,J Clocks and musical boxes.,Gustav Grimm,,manu.,"Koestritz, Germany",12.0076316,50.9307183
Gallery,Northwest,Switzerland,10. Philosophical Instruments (including Daguerreotypes,A new compass.,A. Favre-Brand,,inv. & manu.,"Locle, Switzerland",6.7487354,47.0577195
Gallery,Northwest,Switzerland,10. Philosophical Instruments (including Daguerreotypes,Twelve watches.,Montandon Brothers,,manu.,"Locle, Switzerland",6.7487354,47.0577195
Gallery,Northwest,Switzerland,10. Philosophical Instruments (including Daguerreotypes,Various clocks.,F. E. Favre-Brand,,manu.,"Locle, Switzerland",6.7487354,47.0577195
Gallery,Southwest,Germany,10. Philosophical Instruments (including Daguerreotypes,Mathematical instruments.,G. Schocer,,manu.,"Nuremberg, Germany",11.0796553,49.4254092
Gallery,South,UK,10. Philosophical Instruments (including Daguerreotypes,"Maps, and Portuguese articles.",Joseph Jambs Forrester,,,"London, UK",-0.1277583,51.5073509
Gallery,Southwest,Germany,10. Philosophical Instruments (including Daguerreotypes,Spectacles and eye-glasses.,Riedel,,manu.,"Nuremberg, Germany",11.0796553,49.4254092
Gallery,Southwest,Germany,10. Philosophical Instruments (including Daguerreotypes,Mathematical instruments.,Kisskalt,,manu.,"Nuremberg, Germany",11.0796553,49.4254092
Gallery,Southwest,Germany,10. Philosophical Instruments (including Daguerreotypes,Specimens of clocks.,Jos. Zimber,,manu.,"Furtwangen, Germany",8.2014192,48.0501442
Gallery,Northwest,Switzerland,10. Philosophical Instruments (including Daguerreotypes,A planetarium.,L. Masset,,inv. & manu.,"Yverdon, Switzerland",6.641183,46.7784736
Gallery,Northwest,Switzerland,10. Philosophical Instruments (including Daguerreotypes,Seven watches.,Ch. H Grosolaude,,manu.,"Fleurier, Switzerland",6.5808426,46.9023107
Gallery,South,UK,10. Philosophical Instruments (including Daguerreotypes,Magnet.,Thomas Bennett,,,"Cork, UK",-8.4863,51.8969
Gallery,Southwest,Germany,10. Philosophical Instruments (including Daguerreotypes,"Chemical lamps, balances, &e.",J. A Pokorny,,manu.,"Berlin, Germany",13.404954,52.5200066
Gallery,South,UK,10. Philosophical Instruments (including Daguerreotypes,Photographic specimens.,Matthew J. Fochy,,,"Cork, UK",-8.4863,51.8969
Gallery,Southwest,Germany,10. Philosophical Instruments (including Daguerreotypes,"Eight-day clocks,",Gustav Becker,,manu.,"Freiburg, Germany",7.8421043,47.9990077
Gallery,Southwest,Germany,10. Philosophical Instruments (including Daguerreotypes,"Spectacles, <fcc",Semmelroth,,manu.,"Nuremberg, Germany",11.0796553,49.4254092
Gallery,Southwest,Germany,10. Philosophical Instruments (including Daguerreotypes,Eye-glasses.,J. G. Landgeaf,,manu.,"Nuremberg, Germany",11.0796553,49.4254092
Gallery,Southwest,Germany,10. Philosophical Instruments (including Daguerreotypes,Chronometers.,Meneke,,manu.,"Bremen, Germany",8.8016937,53.0792962
Gallery,Southwest,Germany,10. Philosophical Instruments (including Daguerreotypes,Scales.,G. H. Siohler,,manu.,"Nuremberg, Germany",11.0796553,49.4254092
Gallery,Southwest,Germany,10. Philosophical Instruments (including Daguerreotypes,Scales.,W. Kornlein,,manu.,"Nuremberg, Germany",11.0796553,49.4254092
Gallery,Southwest,Germany,10. Philosophical Instruments (including Daguerreotypes,Scales.,Bhauer,,manu.,"Nuremberg, Germany",11.0796553,49.4254092
Gallery,Southwest,Germany,10. Philosophical Instruments (including Daguerreotypes,Globe.,Salziger,,,"Nuremberg, Germany",11.0796553,49.4254092
Gallery,West,Austria,11. Manufacturers of Cotton,Samples of cotton twists.,J. Grillmayer,,manu.,"Linz, Austria",14.28583,48.30694
Gallery,West,Austria,11. Manufacturers of Cotton,Specimens of fancy cambrics.,J. Lang,,manu.,"Vienna, Austria",16.3738189,48.2081743
Gallery,West,Italy,13. Manufactures of Silk,"Superfine velvets, black, pensee, green, ruby, and other colors ; tapestry velvets ; velvet lace.",J. Guillot & Co.,,manu.,"Genoa, Italy",8.946256,44.4056499
Gallery,West,Italy,13. Manufactures of Silk,"Gros de Tours, gros dTtalia, gros d'Algier, metallic lustre, watered and other styles of silk stuffs.",Carlo Ghigleeri & Co.,,manu.,"Milan, Italy",9.1859243,45.4654219
Gallery,West,Italy,13. Manufactures of Silk,"Silk damask stuffs, of various colors ; taffeta handkerchiefs and cravats ; ladies' collars, &e.",Ratti & Crivalli,,manu.,"Milan, Italy",9.1859243,45.4654219
Gallery,West,Italy,13. Manufactures of Silk,Samples of white and yellow raw silk ; white and yellow organzine.,Mi- chele Bravo,,prop.,"Turin, Italy",7.6868565,45.070312
Gallery,West,Italy,13. Manufactures of Silk,Variety of rich silks of all descriptions and colors.,Gattaneo & Pethti,,manu.,"Turin, Italy",7.6868565,45.070312
Gallery,West,Italy,13. Manufactures of Silk,Assortment of velvets of various colors.,Defferari Brothers,,manu.,"Genoa, Italy",8.946256,44.4056499
Gallery,West,Italy,13. Manufactures of Silk,Assortment of velvets and silk stuffs.,G. Chichizola,,manu.,"Turin, Italy",7.6868565,45.070312
Gallery,West,Italy,13. Manufactures of Silk,Samples of raw silks and organzine.,Geniooud Brothers,,prod.,"Turin, Italy",7.6868565,45.070312
Gallery,West,Italy,13. Manufactures of Silk,Rich stuffs of silk and velvet.,G. G. Tasca,,manu.,"Turin, Italy",7.6868565,45.070312
Gallery,West,Italy,13. Manufactures of Silk,Raw silks and organzine.,P. Sozzi,,manu.,"Bergamo, Italy",9.6772698,45.6982642
Gallery,,USA,"16. Leather, Furs, and Hair",Fine French calf-skins.,"Suer, Paris",L. & P. Grosholt,agent,"Philadelphia, Pennsylvania",-75.1652215,39.9525839
Gallery,West,France,"16. Leather, Furs, and Hair","Varnished calf-skins, for carriages and for boots and shoes.",J. Gauthies,,manu.,"Paris, France",2.3522219,48.856614
Gallery,West,France,"16. Leather, Furs, and Hair","Various samples of leather; a broad band for gearing machines. (Strips of this band are offered by the manufacturer for the use of those who may be exhibiting machines in motion in the New-York Crystal Palace.)-PLAOiDE Pelteeeau, Jr. manu. Chateau-Renault (Indre and Loire) 150 Leathers, Fur, Hair, Paper, etc.","PLAOiDE Pelteeau, Jr.",,manu.,"Chateau-Renault (Indre and Loire), France",0.90921,47.5919079
Gallery,,USA,"16. Leather, Furs, and Hair",Military and fancy feathers.,L. Duhain,,manu.,"New York City, New York",-74.0059413,40.7127837
Gallery,,USA,"16. Leather, Furs, and Hair","Black and gray horse-hair seating cloth ; white horse-hair cloth for ladies' skirts, <Ssc. ; curled hair of the wild horse of South America, from which thesa fabrics are made. (Class 4.)",Wm. <fe Chas. Siiirreff,,manu.,"Newark, New Jersey",-74.1723667,40.735657
Gallery,,USA,"16. Leather, Furs, and Hair","Buckskins of various colors, for opera boots and shoes, gloves, daguerreo- type polishers, piano-forte leathers, saddle-seating, <fec.",Ramsbeeg & Ebert,,manu.,"Georgetown, District of Columbia",-77.0653565,38.9097057
Gallery,East,UK,"16. Leather, Furs, and Hair",Morocco leathers ; dyed sheep and lamb skins for rugs and mats.,John S. Deed,,manu.,"London, UK",-0.1277583,51.5073509
Gallery,,USA,"16. Leather, Furs, and Hair","Various specimens of hair-work, including improved wigs, with India rubber adjustments.",John B. Brown,,manu.,"Brooklyn, New York",-73.9441579,40.6781784
Gallery,,USA,"16. Leather, Furs, and Hair","Patent japanned and enamelled leathers of various colors; fancy colored calf- skins for harness, and skivers for hat-linings.",John Chadwick & Co.,,manu.,"Newark, New Jersey",-74.1723667,40.735657
Gallery,,USA,"16. Leather, Furs, and Hair","Travelling trunks of sole leather, on iron frame, and with steel spring and solid rivets.",Thomas Mattson,,manu.,"Philadelphia, Pennsylvania",-75.1652215,39.9525839
Gallery,,USA,"16. Leather, Furs, and Hair","Harness leather ; shaved leather ; russet bridle, skirting and waxed splits.",Samuel S. Armstrong,,manu.,"Philadelphia, Pennsylvania",-75.1652215,39.9525839
Gallery,,USA,"16. Leather, Furs, and Hair",Russet covered mounting carriage harness; silver roped mounting ditto ; fancy ditto; fancy single harness.,Owen McFaeland,,manu.,"New York City, New York",-74.084493,40.62313
Gallery,West,Austria,"16. Leather, Furs, and Hair",Black and brown grained and pressed calfskins; japanned sheepskins; rein- deer leather ; various colored calfskins.,J. J. Pollak & Sons,,manu.,"Prague, Austria",14.4035188,50.0747262
Gallery,West,France,"16. Leather, Furs, and Hair","Specimens of black and colored calf-skins for boots and shoes, and for saddlers, coach and harness-makers.",E. Couetois,,tanner,"Montmartre, France",2.3388895,48.8867148
Gallery,,USA,"16. Leather, Furs, and Hair",Specimens of single and double round and waterproof leather belting for all kinds of machinery.,P. F. Pasqdat & Co.,,manu.,"New York City, New York",-74.004847,40.710875
Gallery,,USA,"16. Leather, Furs, and Hair",Various specimens of wigs ; drawings of a patent wig-making machine in the same case.,Charles Bourgard,,inv.,"New York City, New York",-74.0059413,40.7127837
Gallery,Southwest,Germany,"16. Leather, Furs, and Hair","Riding and carriage whips, of various descriptions, and curiously mounted ; canes, and small whips.","P. Lenzenfelder, Sen.",,manu.,"Nuremberg, Germany",11.0796553,49.4254092
Gallery,,USA,"16. Leather, Furs, and Hair","Samples of curled hair, for stuffing sofa-cushions, mattresses, <fec.",William Wilkens,,manu.,"New York City, New York",-74.0059413,40.7127837
Gallery,East,UK,"16. Leather, Furs, and Hair","Chamois leather, glue, <fcc.",Batley & Shaw,,manu.,"Lenton, UK",-1.177542,52.947769
Gallery,,USA,"16. Leather, Furs, and Hair","Transparent wig, white gossamer sealp ; ladies' and gentlemen's ornamental hair work.",Medhurst & Heard,,manu.,"New York City, New York",-74.008882,40.709175
Gallery,West,France,"16. Leather, Furs, and Hair",Specimens of fine dressed calf-skins and boot-tops.,Ma^son,,manu.,"Loire Inferieure, France",,
Gallery,,USA,"16. Leather, Furs, and Hair",Various descriptions of colored leather for bookbinders and pocketbook manufacturers.,Cook & Manor,,prop.,"New York City, New York",-73.983081,40.703178
Gallery,,USA,"16. Leather, Furs, and Hair","Patent anti-friction, ventilating and self-adjusting collars and hames.",Henry B. Latham,,pat. & manu.,"Smithtown, New York",-73.2006687,40.8559314
Gallery,,USA,"16. Leather, Furs, and Hair","Patent stretched, cemented and riveted leather bands ; finished and waxed calf-skins.",Henry S. McCombs,,manu.,"Wilmington, Delaware",-75.5397878,39.7390721
Gallery,,USA,"16. Leather, Furs, and Hair",Saddlers' and harness-makers' leathers.,Soattergood & Boustea,,manu.,"Philadelphia, Pennsylvania",-75.1652215,39.9525839
Gallery,,USA,"16. Leather, Furs, and Hair","Various descriptions of leather for bookbinders, saddlers and trunkmakers.",L. Shepherd <fe Son,,manu.,"Norfolk, Connecticut",-73.2020577,41.9939828
Gallery,West,France,"16. Leather, Furs, and Hair",Calf-skins.,"Geeabd,",,manu.,"Epinal, France",6.449403,48.172402
Gallery,,USA,"16. Leather, Furs, and Hair",Patent hide-whips ; curled hair.,"Bodine, Baeder & Co.",,manu.,"New York City, New York",-74.0059413,40.7127837
Gallery,,USA,"16. Leather, Furs, and Hair","Specimens of morocco, kid and fancy leathers.",George Moore,,manu.,"Philadelphia, Pennsylvania",-75.1652215,39.9525839
Gallery,,USA,"16. Leather, Furs, and Hair",Dyed furs and samples o f leather.,Dennison Williams,,manu.,"Albany, New York",-73.7562317,42.6525793
Gallery,East,UK,"16. Leather, Furs, and Hair","Wax bust with lady's head-dress, wig, transparent scalp, shqwing shades ot hair dye.",A Hewlett,,,"London, UK",-0.1277583,51.5073509
Gallery,,USA,"16. Leather, Furs, and Hair",Specimens of curled hair ; cow-hide whips ; bristles.,Gerk <Se Beohler,,manu.,"Philadelphia, Pennsylvania",-75.1652215,39.9525839
Gallery,West,France,"16. Leather, Furs, and Hair",Specimens of varnished calf-skins.,Delon Albot,,manu.,"Paris, France",2.3522219,48.856614
Gallery,,USA,"16. Leather, Furs, and Hair","Changeable saddle, adapted for either a civilian or high military officer.",Benjamin Stevens,,manu.,"Bridgeport, Connecticut",-73.1951767,41.1865478
Gallery,,USA,"16. Leather, Furs, and Hair","Wigs, toupees and textambes, made on a new system by the exhibitor.",D. Duprat,,manu.,"New York City, New York",-73.994087,40.71544
Gallery,,USA,"16. Leather, Furs, and Hair","Specimens of ventilated and gossamer hair- work, wigs and toupees.",Vaik Clirehugh,,manu.,"New York City, New York",-74.010053,40.710181
Gallery,Northwest,Switzerland,"16. Leather, Furs, and Hair","Polished calfskins and specimens of boot fronts, a la Bordeaux,","Melohioe, Imhoff & Son",,manu.,"Basle, Switzerland",7.5885761,47.5595986
Gallery,,USA,"16. Leather, Furs, and Hair","Hide whips, curled hair, lace leather, &c.",Charles Cumming,,manu.,"Philadelphia, Pennsylvania",-75.1652215,39.9525839
Gallery,,USA,"16. Leather, Furs, and Hair",Finished and unfinished calf-skins.,Henry M. Crawford,,manu.,"Philadelphia, Pennsylvania",-75.1652215,39.9525839
Gallery,Southwest,Germany,"16. Leather, Furs, and Hair",Patent calfskins.,Cornelius Hegel,,manu.,"Worms, on the Rhine, Germany",8.3507182,49.6341372
Gallery,,USA,"16. Leather, Furs, and Hair",Riding saddle of peculiar construction.,Charles H. Hunter,,prop.,"Philadelphia, Pennsylvania",-75.1652215,39.9525839
Gallery,West,France,"16. Leather, Furs, and Hair",Specimens of white polished and varnished calf-skins.,Febvee Gaudelet,,des.,"Tanneries, France",0.0677012,45.1520379
Gallery,West,France,"16. Leather, Furs, and Hair",Varnished calf-skins ; a tableau of grained skins.,A. Houette & Co.,,tanner,"Paris, France",2.3522219,48.856614
Gallery,,USA,"16. Leather, Furs, and Hair",Specimens of manufactured furs and dressed skins.,F. W. Lasak <fe Son,,manu.,"New York City, New York",-74.142137,40.638573
Gallery,Southwest,Germany,"16. Leather, Furs, and Hair","Japanned, black, and polished leather, for boots and shoes.",Heintze & Freudenberg,,manu.,"Weinheim, Baden, Germany",8.6602703,49.544964
Gallery,West,France,"16. Leather, Furs, and Hair",Various specimens of leather and of fine moroccos.,"Bayvet, Beothees & Co.",,manu.,"Paris, France",2.3522219,48.856614
Gallery,West,France,"16. Leather, Furs, and Hair",Tanned calf-skins ; boots and shoes for exportation.,H. Susee,,manu.,"Nantes, France",-1.553621,47.218371
Gallery,West,France,"16. Leather, Furs, and Hair","Saddlery and articles of military accoutrement,",H. Liegaud,,saddler,"Paris, France",2.3522219,48.856614
Gallery,,USA,"16. Leather, Furs, and Hair",Taylor's patent hame fastener.,Seidenstricker & Son,,manu.,"Baltimore, Maryland",-76.6121893,39.2903848
Gallery,,USA,"16. Leather, Furs, and Hair",Leather travelling trunks.,Alexander Hiokey & Co.,,manu.,"Philadelphia, Pennsylvania",-75.1652215,39.9525839
Gallery,,USA,"16. Leather, Furs, and Hair","Rich furs, of various descriptions (in Genin's case).",John N. Genin,,imp.,"New York City, New York",-73.943274,40.701784
Gallery,,USA,"16. Leather, Furs, and Hair",Specimens of fine morocco kid.,George S. Adler,,manu.,"Philadelphia, Pennsylvania",-75.1652215,39.9525839
Gallery,,USA,"16. Leather, Furs, and Hair",Various kinds of fancy colored morocco leather.,Edmund A. Smith,,manu.,"New York City, New York",-74.132288,40.640546
Gallery,,USA,"16. Leather, Furs, and Hair","American calf-skins, with French finish.",H. Brodt,,manu.,"Philadelphia, Pennsylvania",-75.1652215,39.9525839
Gallery,,USA,"16. Leather, Furs, and Hair",Oak-tanned sole leather; American calf-skins.,W. A. Sears,,currier,"New York City, New York",-74.004612,40.710647
Gallery,,USA,"16. Leather, Furs, and Hair",Leather trunks and valises.,James E. Brown,,manu.,"Philadelphia, Pennsylvania",-75.1652215,39.9525839
Gallery,West,Italy,"16. Leather, Furs, and Hair","Portmanteaus of a new form, with divers compartments.",Francisco San- gler,,manu.,"Turin, Italy",7.6868565,45.070312
Gallery,West,Austria,"16. Leather, Furs, and Hair",Samples of different kinds of goat and sheepskins.,F. Wolff,,manu.,"Herr- manstadt, Austria",,
Gallery,West,Italy,"16. Leather, Furs, and Hair","Specimens of calfskins undressed, dressed, and varnished.",Megroz-Blache,,manu.,"Thonou, Italy",9.283447,40.078072
Gallery,West,France,"16. Leather, Furs, and Hair",Various specimens of tanned and curried hides.,Dezaux Laooub,,tanner & curier,"Guise, France",3.625057,49.898014
Gallery,Southwest,Germany,"16. Leather, Furs, and Hair",Specimens of patent japanned calfskin.,"Ihm, Boehsi & Pfaltz",,manu.,"Offenbach on the Maine, Germany",8.7761,50.0956
Gallery,Southwest,Germany,"16. Leather, Furs, and Hair","Prepared leather, for instruments.",William & Edward Geyeb,,manu.,"Eisenberg, Germany",10.6058693,47.611993
Gallery,,USA,"16. Leather, Furs, and Hair","Harness, saddles, &c.",Lacey & Phillips,,manu.,"Philadelphia, Pennsylvania",-75.1652215,39.9525839
Gallery,West,France,"16. Leather, Furs, and Hair",Varnished leathers of various kinds and colors.,L. Deadde,,manu.,"Paris, France",2.3522219,48.856614
Gallery,,USA,"16. Leather, Furs, and Hair",Specimens of oak-tanned sole-leather.,Jacob Hoffman,,manu.,"East Waterford, Pennsylvania",-77.6047123,40.3703586
Gallery,,USA,"16. Leather, Furs, and Hair",Various harness saddles.,Samuel E. Tompkins,,manu.,"Brooklyn, New York",-73.9441579,40.6781784
Gallery,,USA,"16. Leather, Furs, and Hair",Various harness saddles.,Samuel E. Tompkins,,manu.,"Brooklyn, New York",-73.9441579,40.6781784
Gallery,West,Italy,"16. Leather, Furs, and Hair","Specimens of morocco leather, of various colors.",Luigi Arnaudon,,manu.,"Turin, Italy",7.6868565,45.070312
Gallery,West,France,"16. Leather, Furs, and Hair",Samples of superfine japanned leather.,Nyset & Co.,,manu.,"Paris, France",2.3522219,48.856614
Gallery,,USA,"16. Leather, Furs, and Hair",Specimens of bark-tanned sheep-skins.,George Dudley,,manu.,"West Winsted, Connecticut",-73.0601078,41.9212066
Gallery,Southwest,Germany,"16. Leather, Furs, and Hair","Varnished leather, for shoemakers and beltmakers.",Fred. Kunze,,manu.,"Rocblrtz, Germany",,
Gallery,,USA,"16. Leather, Furs, and Hair","Wigs, toupees, scalps, braids, &c.",James Gregg,,manu.,"New York City, New York",-74.000646,40.723325
Gallery,West,France,"16. Leather, Furs, and Hair",Dressed white and black calf-skins; boot-tops.,C. Galibeet,,tanner,"Milhau, France",3.077801,44.100575
Gallery,Southwest,Germany,"16. Leather, Furs, and Hair",Complete set of Hungarian harness.,Robert Stahn,,manu.,"Breslau, Germany",11.933824,50.3180199
Gallery,,USA,"16. Leather, Furs, and Hair",Various specimens of saddlery.,"Mardook, Kellar & Fountain",,manu.,"Cincinnati, Ohio",-84.5120196,39.1031182
Gallery,,USA,"16. Leather, Furs, and Hair",A variety of fancy furs.,George Bulpin,,manu. & imp,"New York City, New York",-74.00372,40.717454
Gallery,Southwest,Germany,"16. Leather, Furs, and Hair","Travelling trunks, pouches, <fcc.",Feed. Sohadow,,manu.,"Breslau, Germany",11.933824,50.3180199
Gallery,West,France,"16. Leather, Furs, and Hair",A variety of dressed skins.,Ch. Knodebeb,,des.,"Strasburg, France",7.7521113,48.5734053
Gallery,West,France,"16. Leather, Furs, and Hair",A variety of hair-skins.,"C. Boulat, Jr.",,manu.,"St. Paul, France",7.122138,43.696973
Gallery,,USA,"16. Leather, Furs, and Hair",Spanish sole and slaughter leather.,B. Deford & Sons,,manu.,"Baltimore, Maryland",-76.6121893,39.2903848
Gallery,West,Austria,"16. Leather, Furs, and Hair",Samples of horse hair sieve bottoms.,Antony Locker,,manu.,"Krainburs, Austria",,
Gallery,West,France,"16. Leather, Furs, and Hair",Calf-skins and dressed leathers.,Souoin Corbet,,tanner,"Chaumont, France",5.1392559,48.113748
Gallery,Northwest,Switzerland,"16. Leather, Furs, and Hair",Black and white polished calfskins.,Hy. Reymond,,manu.,"Morges Canton Vaud, Switzerland",6.4961301,46.5088127
Gallery,,USA,"16. Leather, Furs, and Hair",Steel spring leather trunk.,Stephen F. Summers,,manu.,"St. Louis, Missouri",-90.1994042,38.6270025
Gallery,West,Austria,"16. Leather, Furs, and Hair",Different kinds of brushes.,F. Lang,,manu.,"Stadt Steyer, Austria",14.41827,48.05009
Gallery,,USA,"16. Leather, Furs, and Hair",A set of single harness.,Ferdinand Peieve,,manu.,"New Rochelle, New York",-73.7823549,40.9114882
Gallery,,USA,"16. Leather, Furs, and Hair",Ladies' fine furs.,Frank Bennett & Co.,,manu.,"New York City, New York",-74.004023,40.717096
Gallery,East,UK,"16. Leather, Furs, and Hair","Curried calfskins in varied styles, &a.",Hegarty Brothers,,,"Cork, UK",-8.4863,51.8969
Gallery,West,Austria,"16. Leather, Furs, and Hair",Samples of different kinds of leather.,F. Messner,,manu.,"Eeutte, Austria",10.71865,47.48879
Gallery,,USA,"16. Leather, Furs, and Hair",Factory machine-bands.,Charles N. Farnham,,manu.,"Norwich, Connecticut",-72.0759105,41.5242649
Gallery,,USA,"16. Leather, Furs, and Hair",Variety of furs.,Ira Todd,,manu.,"New York City, New York",-74.0059413,40.7127837
Gallery,,USA,"16. Leather, Furs, and Hair",A variety of wigs.,John Piiillit,,manu.,"New York City, New York",-73.963154,40.709942
Gallery,West,Austria,"16. Leather, Furs, and Hair",A piece of gray Styrian beaver.,F. Stepanek,,furrier,"Bruck, Austria",15.26861,47.40993
Gallery,,USA,"16. Leather, Furs, and Hair",Improved natural skin wigs.,W. R. Cameron,,manu.,"Brooklyn, New York",-73.9441579,40.6781784
Gallery,Southwest,Germany,"16. Leather, Furs, and Hair",Fancy articles in leather.,J. G. Kugler,,manu.,"Nuremberg, Germany",11.0796553,49.4254092
Gallery,West,France,"16. Leather, Furs, and Hair",Specimens of dressed calf-skins.,Mobide & Raux,,tanner,"Nantes, France",-1.553621,47.218371
Gallery,Southwest,Germany,"16. Leather, Furs, and Hair",Patent calfskins.,Melae & Gubnsheim,,manu.,"Worms, on the Rhine, Germany",8.3507182,49.6341372
Gallery,Southwest,Germany,"16. Leather, Furs, and Hair",Specimens of dressed leather.,Felix Eigl,,manu.,"Lower Bavaria, Germany",13.0208058,48.7896497
Gallery,Southwest,Germany,"16. Leather, Furs, and Hair",Vellum and parchments.,F. Bartholme,,manu.,"Augsburg, Germany",10.89779,48.3705449
Gallery,,USA,"16. Leather, Furs, and Hair",Various skins.,William S. Moselt,,prop.,"Madrid, Missouri",-89.5278547,36.5864488
Gallery,Southwest,Germany,"16. Leather, Furs, and Hair",Articles manufactured of leather.,Carl Zinhand,,manu.,"Hesse, Germany",9.1624376,50.6520515
Gallery,Northwest,Switzerland,"16. Leather, Furs, and Hair",Fine-dressed calfskins.,Hediger Brothers,,,"Zoug, Switzerland",8.5154946,47.1661672
Gallery,,USA,"16. Leather, Furs, and Hair",Belts & harness.,Edward Page,,manu.,"Lawrence, Massachusetts",-71.1631137,42.7070354
